rank,company
590,CNO Financial Group
591,Fastenal
592,Sally Beauty Holdings
593,American Axle & Manufacturing
594,Flowers Foods
595,Andersons
596,Crown Castle International
597,Boise Cascade
598,ON Semiconductor
599,Chipotle Mexican Grill
600,Amkor Technology
601,Triumph Group
602,OneMain Holdings
603,General Cable
604,Ametek
605,Alon USA Energy
606,Pioneer Natural Resources
607,Martin Marietta Materials
608,Ingles Markets
609,Roper Technologies
610,Huntington Bancshares
611,Xylem
612,Unified Grocers
613,Leggett & Platt
614,Dentsply Sirona
615,CACI International
616,Mead Johnson Nutrition
617,C.R. Bard
618,Snap-on
619,HealthSouth
620,Nasdaq
621,Avaya
622,CF Industries Holdings
623,Carlisle
624,Equinix
625,LSC Communications
626,Colfax
627,Lennox International
628,Iasis Healthcare
629,Silgan Holdings
630,American Eagle Outfitters
631,Moody's
632,Calumet Specialty Products Partners
633,CME Group
634,KB Home
635,Vulcan Materials
636,Platform Specialty Products
637,Vantiv
638,Skechers U.S.A.
639,Zebra Technologies
640,Hub Group
641,HSN
642,Stericycle
643,National General Holdings
644,Taylor Morrison Home
645,Urban Outfitters
646,Resolute Forest Products
647,ScanSource
648,Camping World Holdings
649,Iron Mountain
650,Hubbell
651,Pinnacle West Capital
652,Church & Dwight
653,Noble Energy
654,Albemarle
655,Cooper-Standard Holdings
656,KKR
657,Country Financial
658,Ventas
659,Hexion
660,Analog Devices
661,Citrix Systems
662,Green Plains
663,Pitney Bowes
664,Scripps Networks Interactive
665,Darling Ingredients
666,Wayfair
667,Tailored Brands
668,Sabre
669,Global Payments
670,Atmos Energy
671,TEGNA
672,Diebold Nixdorf
673,PolyOne
674,TD Ameritrade Holding
675,Abercrombie & Fitch
676,Greif
677,Alliant Energy
678,American Water Works
679,Acuity Brands
680,Skyworks Solutions
681,FMC
682,Amerco
683,CUNA Mutual Group
684,Brinker International
685,Buckeye Partners
686,Warner Music Group
687,Universal Forest Products
688,American National Insurance
689,Mercury General
690,Regal Beloit
691,Varian Medical Systems
692,Aaron's
693,Visteon
694,Carter's
695,Meritor
696,Regal Entertainment Group
697,Mednax
698,TransDigm Group
699,Landstar System
700,Puget Energy
701,Coca-Cola Bottling
702,Kar Auction Services
703,Equifax
704,Groupon
705,IAC/InterActiveCorp
706,Weis Markets
707,Allegheny Technologies
708,Pinnacle Foods
709,Tempur Sealy International
710,SkyWest
711,International Flavors & Fragrances
712,BMC Stock Holdings
713,Brown-Forman
714,Alexion Pharmaceuticals
715,KapStone Paper & Packaging
716,Time
717,TriNet Group
718,Steelcase
719,EchoStar
720,Sentry Insurance Group
721,Monster Beverage
722,Gannett
723,Fossil Group
724,Univision Communications
725,Meritage Homes
726,MRC Global
727,H&R Block
728,Penn National Gaming
729,Service Corp. International
730,Brink's
731,Old Dominion Freight Line
732,Triple-S Management
733,KLA-Tencor
734,Edwards Lifesciences
735,Rent-A-Center
736,Comerica
737,Paychex
738,First Solar
739,Insperity
740,Scotts Miracle-Gro
741,B/E Aerospace
742,Westinghouse Air Brake Technologies
743,Cooper Tire & Rubber
744,Cinemark Holdings
745,Keysight Technologies
746,Convergys
747,Cracker Barrel Old Country Store
748,PriceSmart
749,Broadridge Financial Solutions
750,Scientific Games
751,Genesco
752,MSC Industrial Direct
753,Ryerson Holding
754,Acadia Healthcare
755,Hologic
756,Unisys
757,Worthington Industries
758,Sanderson Farms
759,WABCO Holdings
760,Panera Bread
761,Metaldyne Performance Group
762,Medical Mutual of Ohio
763,AMC Networks
764,Clean Harbors
