company,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
Buffalo Wild Wings,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Continental Resources,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Arch Coal,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Roadrunner Transportation Systems,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cooper,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
hhgregg,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Euronet Worldwide,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Griffon,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CoreLogic,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nuance Communications,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Matson,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Popular,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Alliance,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
REV,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Rexnord,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cypress Semiconductor,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Portland General Electric,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ply Gem,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cal-Maine Foods,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Alliance One,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AMN Healthcare Services,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Greetings,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Blackhawk Network,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Pier 1 Imports,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Finish Line,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
BlueLinx,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
New Jersey Resources,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Deckers Outdoor,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Murphy Oil,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Teleflex,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Par Pacific,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
SL Green Realty,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
GMS,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CoreCivic,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Deluxe,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Catalent,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
GoDaddy,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Wabash National,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Adtalem Global Education,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
United Refining,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Allison Transmission,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Atlas Air Worldwide,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
ResMed,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Delta Tucker,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
FleetCor Technologies,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Central Garden & Pet,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
