cid,list_id,company,position,office,office_state,job_type,file_rank
c0515,ru_CGNX,Cognex,Software Engineer,Natick,MA,computer_science,2
c0516,ru_CHCO,City,Data Scientist - Institutional Advancement,Philadelphia,PA,data_science,2
c0517,ru_CHCT,Community Healthcare,Program Manager,New York,NY,mba,2
c0518,ru_CHH,Choice Hotels,Software Engineer 2,Phoenix,AZ,computer_science,2
c0519,ru_CIT,CIT,AVP - Analytics and Data Science,Pasadena,CA,data_science,2
c0520,ru_CLNY,Colony Capital,Analyst,Los Angeles,CA,mba_finance,2
c0521,ru_CMCO,Columbus Mckinnon,SAP Business Analyst - FICO,Getzville,NY,mba_finance,2
c0522,ru_CME,CME,Sr Software Engineer - C - Net,Chicago,IL,computer_science,2
c0523,ru_CMP,Compass Minerals,Product Manager,Overland Park,KS,mba,2
c0524,ru_CMPR,Cimpress,Lead Data Scientist,Waltham,MA,data_science,2
c0525,ru_CNDT,Conduent,BI Data Engineer,Morrisville,NC,data_science,2
c0526,ru_CNMD,Conmed,Senior Lead Financial Analyst,Largo,FL,mba_finance,2
c0527,ru_CNO,Cno Financial,Investment Analyst,Indianapolis,IN,mba_finance,2
c0528,ru_COO,Cooper Companies,Financial Analyst,Columbus,OH,mba_finance,2
c0529,ru_COOL,Polarityte,Gene Therapy Research Scientist/Director,Salt Lake City,UT,data_science,2
c0530,ru_CORT,Corcept Therapeutics,Manager/Project Manager - Information Technology Enterprise Applications,Menlo Park,CA,mba,2
c0531,ru_CPK,Chesapeake Utilities,Sr Business Process Analyst,Fernandina Beach,FL,mba_finance,2
c0532,ru_CPRT,Copart,Sr Software Engineer,Dallas,TX,computer_science,2
c0533,ru_CPT,Camden Property Trust,Sr Financial Report Analyst,Houston,TX,mba_finance,2
c0534,ru_CRC,California Resources,Financial Analyst,Bakersfield,CA,mba_finance,2
c0535,ru_CRCM,Care.com,Mobile Product Manager,San Francisco,CA,mba,2
c0536,ru_CRI,Carter,Commercial Installed Sales Project Manager,Dayton,OH,mba,2
c0537,ru_CSGP,Costar,Senior Data Engineer - Analytics,San Diego,CA,data_science,2
c0538,ru_CUB,Cubic,Software Engineer,San Diego,CA,computer_science,2
c0539,ru_CUBE,Cubesmart,Product Manager - Financial Systems,Malvern,PA,mba,2
c0540,ru_CUBI,Customers Bank,Associate Product Manager,New Haven,CT,mba,2
c0541,ru_CVA,Covanta,Director - IT Program Management,Morristown,NJ,mba,2
c0542,ru_CZNC,Citizens & Northern,Credit Analyst II,Doylestown,PA,mba_finance,2
c0543,ru_DDS,Dillards,Kiehls Business Manager,Boise,ID,mba,2
c0544,ru_DERM,Dermira,Manager/Senior Manager - R&D FP&A,Menlo Park,CA,mba_finance,2
c0545,ru_DFIN,Donnelley Financial,Software Engineer,Lancaster,PA,computer_science,2
c0546,ru_DISCA,Discovery,Scientist,Madison,WI,data_science,2
c0547,ru_DLTH,Duluth,Finance Manager,Duluth,MN,mba_finance,2
c0548,ru_DOX,Amdocs,Software Engineer,Alpharetta,GA,computer_science,2
c0549,ru_ECOL,Us Ecology,Senior Compensation Analyst,Boise,ID,mba_analyst,2
c0550,ru_ECPG,Encore Capital,Sr IT Project Manager,San Diego,CA,mba,2
c0551,ru_EE,El Paso Electric,NERC TRAINER - ASSOC-STAFF - L1210658-L2210659,El Paso,TX,data_science,2
c0552,ru_EGHT,8X8 Inc,Creative Program Manager,San Jose,CA,mba,2
c0553,ru_EHTH,Ehealth,Data Scientist,Santa Clara,CA,data_science,2
c0554,ru_EIG,Employers,Associate Software Developer,St. Louis,MO,computer_science,2
c0555,ru_EIGI,Endurance,Senior Software Engineer,Waltham,MA,computer_science,2
c0556,ru_ELGX,Endologix,Principal Product Surveillance Analyst,Irvine,CA,mba_analyst,2
c0557,ru_ELVT,Elevate Credit,Business Analyst II,Fort Worth,TX,mba_finance,2
c0558,ru_EME,Emcor,Project Manager,Edwards,CA,mba,2
c0559,ru_EML,Eastern,Research Assistant I,Norfolk,VA,data_science,2
c0560,ru_ENDP,Endo,Associate Director - Supply Chain Finance,Chestnut Ridge,NY,mba_finance,2
c0561,ru_ENR,Energizer,Project Manager - PMO,St. Louis,MO,mba,2
c0562,ru_EQT,EQT,Land Analyst II,Canonsburg,PA,mba_analyst,2
c0563,ru_ERA,ERA,Product Marketing Manager,Waukesha,WI,mba,2
c0564,ru_ESRT,Empire State Realty,Financial Analyst,New York,NY,mba_finance,2
c0565,ru_ETM,Entercom Communications,Digital Project Manager ,Chicago,IL,mba,2
c0566,ru_EV,Eaton Vance,Structured Finance Analyst,Boston,MA,mba_finance,2
c0567,ru_EVBN,Evans Bank,Special Assets Analyst,Burley,ID,mba_finance,2
c0568,ru_EVRI,Everi,Program Manager,Austin,TX,mba,2
c0569,ru_EWBC,East West Bank,Senior Financial Analyst,Pasadena,CA,mba_finance,2
c0570,ru_EXAS,Exact Sciences,Application Scientist I - Technical Services,Madison,WI,data_science,2
c0571,ru_FBC,Flagstar Bank,Sr Java Developer,Troy,MI,computer_science,2
c0572,ru_FCCY,1St Constitution Bank,SBA Credit Analyst,Fort Lee,NJ,mba_finance,2
c0573,ru_FHB,First Hawaiian,Analytics Risk Officer,Honolulu,HI,mba_finance,2
c0574,ru_FII,Federated Investors,Associate Performance & Risk Analyst,Pittsburgh,PA,mba_finance,2
c0575,ru_FIXX,Homology Medicines,Senior Scientist - Analytical Development,New Bedford,MA,data_science,2
c0576,ru_FMBI,First Midwest Bank,Corporate Real Estate Financial Analyst,Chicago,IL,mba_finance,2
c0577,ru_FND,Floor & Decor,Drayage Program Manager,Smyrna,GA,mba,2
c0578,ru_FNGN,Financial Engines,Financial Planning Analyst,Silver Spring,MD,mba_finance,2
c0579,ru_FOLD,Amicus Therapeutics,Scientist - Cell Culture,Cranbury,NJ,data_science,2
c0580,ru_FRAC,Keane,Data Analyst,King of Prussia,PA,mba_finance,2
c0581,ru_FSS,Federal Signal,JD Edwards Business Analyst - Finance & Procurement,University Park,IL,mba_analyst,2
c0582,ru_FULT,Fulton Financial,Business Intelligence Associate Data Science Architect,East Petersburg,PA,data_science,2
c0583,ru_G,Genpact,Full Stack Developer,Reston,VA,computer_science,2
c0584,ru_GATX,Gatx,Sr Financial Reporting Analyst SEC,Chicago,IL,mba_finance,2
c0585,ru_GBLI,Global Indemnity,Sr Business Analyst,Scottsdale,AZ,mba_finance,2
c0586,ru_GCP,Gcp Applied Technologies,Group Product Manager - SCC Americas,Cambridge,MA,mba,2
c0587,ru_GDOT,Green Dot,Senior Software Engineer,Pasadena,CA,computer_science,2
c0588,ru_GEO,GEO,MGR - REGL TRAINING - CENTRAL,San Antonio,TX,data_science,2
c0589,ru_GGG,Graco,Digital Marketing Analyst,Minneapolis,MN,mba_finance,2
c0590,ru_GNRC,Generac,Connectivity Project Manager,Waukesha,WI,mba,2
c0591,ru_GPX,Gp Strategies,Financial Analyst,Columbia,MD,mba_finance,2
c0592,ru_GSBC,Great Southern Bank,Financial Reporting Manager,Springfield,MO,mba_finance,2
c0593,ru_GWRS,Global Water Resources,Development Services Project Manager,Phoenix,AZ,mba,2
c0594,ru_HCA,Hca Healthcare,Project Manager,Nashville,TN,mba,2
c0595,ru_HCI,HCI,Logistics Analyst Product Support Integration,Wharton,NJ,mba_analyst,2
c0596,ru_HCKT,Hackett,Lead Research & Development Analyst,Cincinnati,OH,data_science,2
c0597,ru_HELE,Helen of Troy,Manager - Corporate FP&A,El Paso,TX,mba_finance,2
c0598,ru_HF,HFF,Investment Advisory Analyst ,Phoenix,AZ,mba_finance,2
c0599,ru_HGV,Hilton Grand Vacations,Jr Financial Analyst - Budgeting and Forecasting,Las Vegas,NV,mba_finance,2
c0600,ru_HHC,Howard Hughes,Research Technician Visual Learning Behavior,Ashburn,VA,data_science,2
c0601,ru_HI,Hillenbrand,Senior Benefits Analyst,Batesville,IN,mba_finance,2
c0602,ru_HLF,Herbalife Nutrition,Scientist - Sensory Quality,Winston-Salem,NC,data_science,2
c0603,ru_HMSY,HMS,Security Analyst 19-022,Austin,TX,mba_finance,2
c0604,ru_HOME,At Home,Financial Analyst,Plano,TX,mba_finance,2
c0605,ru_HSC,Harsco,Program Manager Measurement Products,Charlotte,NC,mba,2
c0606,ru_HSY,Hershey Company,Senior Analyst IT Service Management,Hershey,PA,mba_analyst,2
c0607,ru_HUD,Hudson,Software Engineer I,New York,NY,computer_science,2
c0608,ru_HURN,Huron Consulting,Marketing Project Manager - Corporate,Chicago,IL,mba,2
c0609,ru_HVT,Haverty Furniture,Software Engineer,Atlanta,GA,computer_science,2
c0610,ru_HWC,Hancock Whitney,Senior Programmer Analyst 2,Gulfport,MS,mba_finance,2
c0611,ru_HZNP,Horizon Pharma,Sr Analyst - Business Development,Lake Forest,IL,mba_finance,2
c0612,ru_HZO,Marinemax,Business/Finance Manager,Somers Point,NJ,mba_finance,2
c0613,ru_IART,Integra Lifesciences,Senior Product Manager,Plainsboro,NJ,mba,2
c0614,ru_IBCP,Independent Bank,BSA Analyst I,McKinney,TX,mba_finance,2
c0615,ru_IBKR,Interactive Brokers,Data Scientist,New York,NY,data_science,2
c0616,ru_ICUI,Icu Medical,Development Scientist - Materials,Austin,TX,data_science,2
c0617,ru_IESC,IES,Project Manager,Social Circle,GA,mba,2
c0618,ru_IHC,Independence,Research Analyst,Philadelphia,PA,data_science,2
c0619,ru_III,Information Services,Senior Machine Learning AI System Analyst,Ipswich,MA,data_science,2
c0620,ru_IMH,Impac Mortgage,Software Development Manager,Irvine,CA,computer_science,2
c0621,ru_INO,Inovio Pharmaceuticals,Sr Clinical Scientist,Plymouth Meeting,PA,data_science,2
c0622,ru_INSM,Insmed,Associate Scientist,Bridgewater,NJ,data_science,2
c0623,ru_INWK,Innerworkings,Project Manager,Irvine,CA,mba,2
c0624,ru_IQV,Iqvia,Data Scientist,Plymouth Meeting,PA,data_science,2
c0625,ru_IR,Ingersoll-Rand,Software Engineer,Minneapolis,MN,computer_science,2
c0626,ru_IRBT,Irobot,Software Robotics Scientist,Bedford,MA,data_science,2
c0627,ru_JACK,Jack In The Box,Associate Product Marketing Manager,San Diego,CA,mba,2
c0628,ru_JELD,Jeld-Wen,Marketing Project Manager,Charlotte,NC,mba,2
c0629,ru_KALU,Kaiser Aluminum,VP of Financial - Planning and Analysis,Foothill Ranch,CA,mba_finance,2
c0630,ru_KEM,Kemet,Technical Product Manager,Simpsonville,SC,mba,2
