cid,list_id,company,position,office,office_state,job_type,file_rank
c1686,ru_MHO,M/I Homes,Land Project Manager,Sarasota,FL,mba,3
c1691,ru_MNKD,Mannkind,Territory Business Manager,Greensboro,NC,mba,3
c1694,ru_MO,Altria,Senior Analyst - Advanced Analytics,Richmond,VA,mba_analyst,3
c1696,ru_MRTX,Mirati Therapeutics,Sr Manager/Associate Director - Statistical Programming,San Diego,CA,stats,3
c1697,ru_MSA,Msa Safety,SAP PMM Analyst,Cranberry Township,PA,mba_analyst,3
c1700,ru_MTEM,Molecular Templates,Research Associate - Cell Biology,Austin,TX,data_science,3
c1702,ru_MTW,Manitowoc,Product Manager,New Port Richey,FL,mba,3
c1704,ru_NAVG,Navigators,Mid-Level Software Developer,Colorado Springs,CO,computer_science,3
c1709,ru_NEOG,Neogen,Research Technician,Lansing,MI,data_science,3
c1710,ru_NFBK,Northfield Bank,NB818 - Senior Securities Analyst,Woodbridge,NJ,mba_finance,3
c1712,ru_NK,Nantkwest,Sr Scientist,San Diego,CA,data_science,3
c1714,ru_NMIH,NMI,Software Engineer,Roselle,IL,computer_science,3
c1715,ru_NODK,NI,Family Services Program Manager - Full Time,Smith River,CA,mba,3
c1721,ru_NVCR,Novocure,Senior Analyst - Financial Planning & Analysis,Malvern,PA,mba_finance,3
c1722,ru_NVRO,Nevro,Sr Business Systems Analyst - ERP Systems,Redwood City,CA,mba_finance,3
c1723,ru_NWLI,National Western Life,Software Developer,Austin,TX,computer_science,3
c1726,ru_OFC,Corporate Office Properties,Project Manager Interior Construction,Huntsville,AL,mba,3
c1729,ru_OIS,Oil States,Product Manager,Arlington,TX,mba,3
c1730,ru_OMC,Omnicom,Senior Project Manager,Chicago,IL,mba,3
c1735,ru_ORBC,Orbcomm,Java Developer / Release and Deployment Manager,Salt Lake City,UT,computer_science,3
c1736,ru_OUT,Outfront Media,Financial Analyst,New York,NY,mba_finance,3
c1738,ru_PCH,Potlatchdeltic,Senior Real Estate Accountant,Spokane,WA,stats,3
c1739,ru_PEGI,Pattern Energy,Treasury Analyst,San Francisco,CA,mba_finance,3
c1740,ru_PFGC,Performance Food,Accounts Payable Analyst - PO Invoicing,Centennial,CO,mba_finance,3
c1746,ru_PRGX,Prgx Global,Business Information Analyst,Atlanta,GA,mba_finance,3
c1751,ru_RBNC,Reliant Bank,Project Manager & Systems Administrator,Franklin,TN,mba,3
c1753,ru_RDNT,Radnet,Senior HRIS and Financial Applications Analyst,Los Angeles,CA,mba_finance,3
c1755,ru_REG,Regency Centers,Sr Financial Analyst,Los Angeles,CA,mba_finance,3
c1757,ru_RGEN,Repligen,Project Manager - Systems,Waltham,MA,mba,3
c1759,ru_RHP,Ryman Hospitality Properties,Sr Financial Analyst - Financial Planning & Analysis,Nashville,TN,mba_finance,3
c1760,ru_RLH,Red Lion Hotels,Vince Lombardi's Steakhouse - Host,Appleton,WI,mba,3
c1762,ru_RMTI,Rockwell Medical,Territory Business Manager,Wixom,MI,mba,3
c1764,ru_ROSE,Rosehill Resources,Financial Reporting Analyst,Houston,TX,mba_finance,3
c1765,ru_RRC,Range Resources,Energy Marketing Analyst,Fort Worth,TX,mba_finance,3
c1773,ru_SBAC,Sba Communications,Corporate Finance and Investor Relations Analyst,Boca Raton,FL,mba_finance,3
c1774,ru_SBGI,Sinclair Broadcast,Senior Software Development Engineer,Seattle,WA,computer_science,3
c1775,ru_SBOW,Silverbow Resources,Financial Analyst III,Houston,TX,mba_finance,3
c1777,ru_SCL,Stepan,Sr Project Manager,Northbrook,IL,mba,3
c1778,ru_SELB,Selecta Biosciences,FP&A Manager,Watertown,MA,mba_finance,3
c1783,ru_SIG,Signet Jewelers,Inventory Control Sr Analyst,Akron,OH,mba_analyst,3
c1784,ru_SIGI,Selective Insurance,Insurance Operations Analyst,Branchville,NJ,mba_finance,3
c1788,ru_SM,Sm Energy,Sr Lease Records Analyst,Denver,CO,mba_analyst,3
c1789,ru_SND,Smart Sand,Project Manager,Oakdale,WI,mba,3
c1791,ru_SPKE,Spark Energy,Pricing Analyst I,Houston,TX,mba_finance,3
c1792,ru_SPPI,Spectrum Pharmaceuticals,Sr Clinical Research Associate,Irvine,CA,data_science,3
c1793,ru_SPRO,Spero Therapeutics,Senior/Principal Process Development Scientist,Cambridge,MA,data_science,3
c1795,ru_SRCE,1St Source,IT Security Analyst,South Bend,IN,mba_finance,3
c1797,ru_SSB,South State,BSA AML Analyst,Columbia,SC,mba_analyst,3
c1798,ru_ST,Sensata Technologies,Program Manager,Carpinteria,CA,mba,3
c1800,ru_STAY,Extended Stay America,Accounts Receivable Analyst I-400415,Charlotte,NC,mba_finance,3
c1802,ru_STRL,Sterling Construction,Project Manager - Foundation Drilling,Houston,TX,mba,3
c1803,ru_SUI,Sun Communities,IT Systems Analyst,Southfield,MI,mba_finance,3
c1804,ru_SXT,Sensient Technologies,Finance Analyst Senior - United States - Natural Ingredients N America,Turlock,CA,mba_finance,3
c1805,ru_SYBT,Stock Yards Bank,ACH WIRE ANALYST,Louisville,KY,mba_finance,3
c1810,ru_TIVO,Tivo,Senior Finance Manager - Corporate Finance,San Jose,CA,mba_finance,3
c1812,ru_TLGT,Teligent,Senior Research Scientist - Product Development,Buena,NJ,data_science,3
c1813,ru_TMP,Tompkins Financial,Compensation Analyst,Ithaca,NY,mba_finance,3
c1819,ru_TRUP,Trupanion,Senior Software Engineer,Seattle,WA,computer_science,3
c1821,ru_TTGT,Techtarget,Software Engineer,Newton,MA,computer_science,3
c1825,ru_USAK,Usa Truck,Senior Programmer Analyst,Van Buren,AR,mba_analyst,3
c1826,ru_VBTX,Veritex,Credit Compliance Analyst,Houston,TX,mba_finance,3
c1829,ru_VRAY,Viewray,Software Engineer,Mountain View,CA,computer_science,3
c1831,ru_VSM,Versum Materials,SENIOR RESEARCH SCIENTIST - ENGINEER,Tempe,AZ,data_science,3
c1834,ru_WABC,Westamerica Bank,Senior Financial Analyst,Fairfield,CA,mba_finance,3
c1837,ru_WEB,Web.com,IT Project Manager,Jacksonville,FL,mba,3
c1840,ru_WGO,Winnebago Industries,Senior Financial Analyst - Operations,Eden Prairie,MN,mba_analyst,3
c1841,ru_WHD,Cactus,PRODUCT SALES PROGRAM MANAGER,Phoenix,AZ,mba,3
c1845,ru_WNEB,Western New England,Associate Director of Prospect Research and Management,Springfield,MA,data_science,3
c1846,ru_WSBC,Wesbanco,FIU Analyst - Fraud & BSA,Wheeling,WV,mba_finance,3
c1848,ru_XELA,Exela Technologies,SQL Administrator,Redmond,WA,computer_science,3
c1852,ru_ZOM,Zomedica Pharmaceuticals,Scientific Affairs Manager,Ann Arbor,MI,stats,3
c1861,vault_129,Simon-Kucher & Partners,Financial Services Software Engineer,New York,NY,computer_science,3
c1862,vault_132,Trinity Partners,Senior Consultant - Primary Market Research,Waltham,MA,data_science,3
c1863,vault_134,Ignyte Group,Data Engineer,Washington,DC,data_science,3
c1866,vault_141,Censeo Consulting Group,Data Analyst,Crystal City,VA,quant,3
c1871,vault_17,Debevoise & Plimpton,Senior Financial Analyst,New York,NY,mba_finance,3
c1875,vault_177,Qatalyst Partners,2020 Investment Banking Analyst,San Francisco,CA,mba_finance,3
c1876,vault_18,White & Case,Conflicts Analyst,Tampa,FL,mba_analyst,3
c1878,vault_188,Nomura,Corporate Real Estate Services - Project Manager,New York,NY,mba,3
c1886,vault_216,Brown Smith Wallace,Staff or Senior - Data Analyst - Advisory,St. Louis,MO,mba_analyst,3
c1888,vault_221,BPM,Support Analyst II,San Francisco,CA,mba_analyst,3
c1889,vault_23,Morrison & Foerster,Business Development Manager - Energy - Project Finance - Impact Investing,San Francisco,CA,mba_finance,3
c1892,vault_26,Cooley,Automotive Finance Manager,Rensselaer,NY,mba_finance,3
c1893,vault_40,Shearman & Sterling,Financial Systems Analyst,New York,NY,mba_finance,3
c1894,vault_42,King & Spalding,Director of Finance,Atlanta,GA,mba_finance,3
c1896,vault_52,Greenberg Traurig,Senior Financial Analyst,Doral,FL,mba_finance,3
c1897,vault_56,McDermott Will & Emery,Business Analyst,Chicago,IL,mba_finance,3
c1899,vault_68,Crowell & Moring,Financial Analyst,Washington,DC,mba_finance,3
c1900,vault_69,Fish & Richardson,Financial Systems Business Analyst & Project Manager,Minneapolis,MN,mba,3
c1901,vault_70,Venable,Senior Analyst - Research & Competitive Intelligence,Washington,DC,stats,3
c1902,vault_75,Sheppard Mullin Richter & Hampton,Senior Systems Engineer,Los Angeles,CA,mba_finance,3
c1903,vault_78,Fenwick & West,Business Development Analyst,Mountain View,CA,mba_analyst,3
c1904,vault_79,Arent Fox,Practice Support Senior Analyst,San Francisco,CA,mba_analyst,3
c1905,vault_9,Paul Weiss Rifkind Wharton & Garrison,E-Discovery Project Manager - DC Office,Washington,DC,mba,3
c1906,vault_93,Davis Wright Tremaine,Senior Practice Support Analyst,Seattle,WA,mba_analyst,3
c1907,cnbc_48,GitHub,Senior Business Systems Analyst,San Francisco,CA,mba_analyst,4
c1911,f1000_206,Lincoln Financial,"Sr. Analyst, Quantitative Modeling and Analytics",Philadelphia,PA,quant,4
c1913,f1000_308,Eastman Chemical,IT Project Manager,Kingsport,TN,mba_analyst,4
c1914,f1000_345,J.M. Smucker,"Lead Data Scientist, Category Analytics & Systems",Orrville,OH,data_science,4
c1916,f1000_415,Dr Pepper Snapple Group,Senior Financial Analyst - FP&A,Burlington,MA,mba_finance,4
c1917,f1000_535,Marathon Oil,Sr. IT Business Analyst,Houston,TX,mba_analyst,4
c1925,ru_BMRN,BioMarin,Sr Manager - FP&A,San Rafael,CA,mba_finance,4
c1937,vault_150,Cornerstone Research,Associate,San Francisco,CA,mba_finance,4
c1938,ru_CW,Curtiss Wright,Program Manager,Gilbert,AZ,mba,5
c1939,vault_251,Doeren Mayhew,Analyst,Troy,MI,mba_finance,5
