cid,list_id,company,position,office,office_state,job_type
c127,ru_EVRI,Everi,Software Developer I,Chicago,IL,computer_science
c128,forbes_81,Evernote,Software Engineer - Organization,Redwood City,CA,computer_science
c129,nasdaq_EVTC,Evertec,Sr Software Developer,San Juan,PR,computer_science
c130,forbes_93,Exabeam,Software Engineer Web Front-End,San Mateo,CA,computer_science
c131,ru_XELA,Exela Technologies,SQL Administrator,Redmond,WA,computer_science
c132,f1000_892,Express,Software Engineer,New York,NY,computer_science
c133,f1000_21,Express Scripts,Net Software Engineer,St. Louis,MO,computer_science
c134,ru_EXR,Extra Space Storage,Software Engineer,Salt Lake City,UT,computer_science
c135,f1000_3,ExxonMobil,Full Stack Web Developer,Houston,TX,computer_science
c136,f1000_300,FIS Global,Software Engineer I,Norcross,GA,computer_science
c137,f1000_19,Fannie Mae,Software Engineer I,Herndon,VA,computer_science
c138,forbes_55,Fastly,Software Engineer - Varnish,San Francisco,CA,computer_science
c139,f1000_57,FedEx,Software Developer II,Coraopolis,PA,computer_science
c140,nasdaq_FEYE,FireEye,Senior Software Engineer,Milpitas,CA,computer_science
c141,ru_THFF,First Financial,Software Engineer,Houston,TX,computer_science
c142,f1000_897,Fitbit,Software Engineer - iOS,San Diego,CA,computer_science
c143,nasdaq_FIVN,Five9,Senior Voice Software Engineer,San Ramon,CA,computer_science
c144,ru_FBC,Flagstar Bank,Sr Java Developer,Troy,MI,computer_science
c145,nasdaq_FLEX,Flex,Embedded Software Engineer,Irving,TX,computer_science
c146,ru_FLNT,Fluent,Software Developer,New York,NY,computer_science
c147,f1000_347,Foot Locker,Peoplesoft Software Engineer,Camp Hill,PA,computer_science
c148,nasdaq_FTNT,Fortinet,Software Development Engineer 3,Sunnyvale,CA,computer_science
c149,ru_FTV,Fortive,Data Science Software Engineer,Pittsburgh,PA,computer_science
c150,f1000_312,Frontier Communications,User Interface Software Engineer,Everett,WA,computer_science
c151,f1000_1,Geico,Lead Software Engineer I,Chevy Chase,MD,computer_science
c152,f1000_7,General Motors,Senior Mobile Software Engineer,Detroit,MI,computer_science
c153,glassdoor_140,Gensler,Software Developer,La Crosse,WI,computer_science
c154,nasdaq_GLUU,Glu Mobile,Sr Software Engineer - Unity,San Francisco,CA,computer_science
c155,f1000_979,GoDaddy,Senior Software Engineer - Web,Kirkland,WA,computer_science
c156,ru_GPRO,Gopro,Lead Software Engineer,San Mateo,CA,computer_science
c157,ru_GWB,Great Western Bank,Sr Net Software Developer,Sioux Falls,SD,computer_science
c158,ru_GRUB,Grubhub,Sr Software Engineer - Delivery Team,New York,NY,computer_science
c159,f1000_726,H&R Block,Software Engineer,Kansas City,MO,computer_science
c160,f1000_62,HCA,Senior Software Developer II,Nashville,TN,computer_science
c161,ru_HMSY,HMS,Sr Software Engineer,Danvers,MA,computer_science
c162,f1000_640,HSN,Java Developer,Saint Petersburg,FL,computer_science
c163,f1000_434,Harley-Davidson,Staff Software Engineer - Infotainment,Wauwatosa,WI,computer_science
c164,ru_HSC,Harsco,Software Development Engineer Test,Columbia,SC,computer_science
c165,ru_HVT,Haverty Furniture,Software Engineer,Atlanta,GA,computer_science
c166,f1000_818,Hawaiian,Software Developer Engineer - IT - Enterprise Data,Phoenix,AZ,computer_science
c167,nasdaq_HSTM,HealthStream,Software Developer,San Diego,CA,computer_science
c168,glassdoor_0,Heap,Software Engineer - Product,San Francisco,CA,computer_science
c169,ru_HEI.A,Heico,Software Engineering Manager,Hillsboro,OR,computer_science
c170,f1000_242,Henry Schein,Software Engineer I,American Fork,UT,computer_science
c171,f1000_783,Hill-Rom,Lead Software Engineer R&D,Batesville,IN,computer_science
c172,ru_HTH,Hilltop,Software Developer,Dallas,TX,computer_science
c173,cnbc_30,Houzz,DevOps/Software Engineer Data Infrastructure,Palo Alto,CA,computer_science
c174,nasdaq_HUBS,HubSpot,Senior Software Engineer - CMS,Boston,MA,computer_science
c175,f1000_379,Huntington Ingalls Industries,IT Software Engineer 2,Newport News,VA,computer_science
c176,ru_HURN,Huron Consulting,Software Engineer - ECC - - IL,Chicago,IL,computer_science
c177,f1000_31,IBM,Software Engineer,New York,NY,computer_science
c178,f1000_188,INTL FCStone,Full-Stack Web/Mobile Engineer,Winter Park,FL,computer_science
c179,nasdaq_IMMR,Immersion,Senior Java Developer,Baltimore,MD,computer_science
c180,ru_IMPV,Imperva,Senior Software Engineer - Rust/C/C,Los Angeles,CA,computer_science
c181,nasdaq_INST,Instructure,Software Engineer,Chicago,IL,computer_science
c182,ru_IBKR,Interactive Brokers,Software Development Manager,Greenwich,CT,computer_science
c183,ru_TILE,Interface,Junior Software Engineer - Kirtland AFB - US Citizenship Required,Albuquerque,NM,computer_science
c184,f1000_344,Interpublic Group,Cybersecurity Software Developer,New York,NY,computer_science
c185,forbes_73,JFrog,Senior Software Developer,Sunnyvale,CA,computer_science
c186,f1000_402,JetBlue Airways,Developer Application Services,Long Island City,NY,computer_science
c187,glassdoor_112,John Deere,API Software Engineer,Moline,IL,computer_science
c188,f1000_509,Juniper Networks,Software Engineer 3,Sunnyvale,CA,computer_science
c189,ru_KEYW,Keyw,Software Engineer,Washington,DC,computer_science
