list_id,company,raw_company,rank,source,job_type
nasdaq_SSYS,Stratasys,"Stratasys, Ltd.",319.0,nasdaq_tech,data_science_b
nasdaq_EIGI,Endurance International Group Holdings,"Endurance International Group Holdings, Inc.",320.0,nasdaq_tech,data_science_b
nasdaq_FORM,FormFactor,"FormFactor, Inc.",321.0,nasdaq_tech,data_science_b
nasdaq_CSIQ,Canadian Solar,Canadian Solar Inc.,322.0,nasdaq_tech,data_science_b
nasdaq_PLUS,ePlus inc.,ePlus inc.,323.0,nasdaq_tech,data_science_b
nasdaq_TNC,Tennant Company,Tennant Company,324.0,nasdaq_tech,data_science_b
nasdaq_BHE,Benchmark Electronics,"Benchmark Electronics, Inc.",325.0,nasdaq_tech,data_science_b
nasdaq_XPER,Xperi Corporation,Xperi Corporation,326.0,nasdaq_tech,data_science_b
nasdaq_TRUE,TrueCar,"TrueCar, Inc.",327.0,nasdaq_tech,data_science_b
nasdaq_CARB,Carbonite,"Carbonite, Inc.",328.0,nasdaq_tech,data_science_b
nasdaq_TBI,TrueBlue,"TrueBlue, Inc.",329.0,nasdaq_tech,data_science_b
nasdaq_LSCC,Lattice Semiconductor Corporation,Lattice Semiconductor Corporation,330.0,nasdaq_tech,data_science_b
nasdaq_MCRN,Milacron Holdings,Milacron Holdings Corp.,331.0,nasdaq_tech,data_science_b
nasdaq_SXI,Standex International Corporation,Standex International Corporation,332.0,nasdaq_tech,data_science_b
nasdaq_CBLK,Carbon Black,"Carbon Black, Inc.",333.0,nasdaq_tech,data_science_b
nasdaq_SCSC,ScanSource,"ScanSource, Inc.",334.0,nasdaq_tech,data_science_b
nasdaq_AGMH,AGM Group Holdings,AGM Group Holdings Inc.,335.0,nasdaq_tech,data_science_b
nasdaq_KAI,Kadant Inc,Kadant Inc,336.0,nasdaq_tech,data_science_b
nasdaq_RCII,Rent-A-Center,Rent-A-Center Inc.,337.0,nasdaq_tech,data_science_b
nasdaq_CTS,CTS Corporation,CTS Corporation,338.0,nasdaq_tech,data_science_b
nasdaq_RMBS,Rambus,"Rambus, Inc.",339.0,nasdaq_tech,data_science_b
nasdaq_CMCM,Cheetah Mobile,Cheetah Mobile Inc.,340.0,nasdaq_tech,data_science_b
nasdaq_CRAY,Cray Inc,Cray Inc,341.0,nasdaq_tech,data_science_b
