cid,list_id,company,position,office,office_state,job_type,list_rank,source,file_rank
c0078,nasdaq_DOMO,Domo,Data Scientist,American Fork,UT,data_science,368.0,nasdaq_tech,1
c0079,nasdaq_NH,NantHealth,Project Manager,Boston,MA,mba,496.0,nasdaq_tech,1
c0080,nasdaq_NTCT,NetScout Systems,Senior Software Engineer - Security Product Engineering,Baltimore,MD,computer_science,252.0,nasdaq_tech,1
c0081,nasdaq_RST,Rosetta Stone,Manager - Portfolio Research & Analytics,Concord,MA,mba_finance,398.0,nasdaq_tech,1
c0082,nasdaq_SNAP,Snap,"Software Engineer, Machine Learning",Los Angeles,CA,data_science,101.0,nasdaq_tech,1
c0083,nasdaq_WDAY,Workday,Software Engineer,Pleasanton,CA,computer_science,26.0,nasdaq_tech,1
c0084,ru_ALGN,Align Technology,Senior Machine Learning Scientist,Raleigh,NC,data_science,110.0,ru3000,1
c0085,ru_AMRC,Ameresco,Senior Project Manager,Framingham,MA,mba,150.0,ru3000,1
c0086,ru_ATRC,AtriCure,Product Marketing Manager,Minneapolis,MN,mba,291.0,ru3000,1
c0087,ru_AXDX,Accelerate Diagnostics,Data Analyst,Tucson,AZ,mba_analyst,29.0,ru3000,1
c0088,ru_AXGN,AxoGen,Investor Relations Analyst,Tampa,FL,mba_finance,314.0,ru3000,1
c0089,ru_BEAT,BioTelemetry,Senior Java Software Developer,San Diego,CA,computer_science,387.0,ru3000,1
c0090,ru_BMRN,BioMarin,Sr Manager - FP&A,San Rafael,CA,mba_finance,384.0,ru3000,1
c0091,ru_CDNA,CareDx,Project Manager,Brisbane,CA,mba,513.0,ru3000,1
c0092,ru_CRY,CryoLife,Business Project Manager II,Kennesaw,GA,mba,757.0,ru3000,1
c0093,ru_CTMX,CytomX Therapeutics,"Manager/Sr. Manager, CMC Project Management",South San Francisco,CA,mba,782.0,ru3000,1
c0094,ru_DLB,Dolby Laboratories,Product Manager,San Francisco,CA,mba,839.0,ru3000,1
c0095,ru_EDIT,Editas Medicine,Software Engineer / Informatics Scientist,Boulder,CO,computer_science,895.0,ru3000,1
c0096,ru_EXEL,Exelixis,Project Manager,Alameda,CA,mba,997.0,ru3000,1
c0097,ru_GTHX,G1 Therapeutics,Associate Director - Biostatistics,Durham,NC,stats,1152.0,ru3000,1
c0098,ru_HAYN,Haynes International,Business Analyst,Kokomo,IN,mba_finance,1294.0,ru3000,1
c0099,ru_IMMU,Immunomedics,Director - Statistical Programming,Morris Plains,NJ,stats,1405.0,ru3000,1
c0100,ru_INGN,Inogen,IT Business Analyst Patient Services,Richardson,TX,mba_finance,1431.0,ru3000,1
c0101,ru_IRTC,iRhythm,Financial Analyst,San Francisco,CA,mba_finance,1489.0,ru3000,1
c0102,ru_JNCE,Jounce Therapeutics,Program Manager,Cambridge,MA,mba,1520.0,ru3000,1
c0103,ru_KPTI,Karyopharm Therapeutics,Finance Manager - Commercial FP&A,Newton,MA,mba_finance,1533.0,ru3000,1
c0104,ru_LNG,Cheniere Energy,Analyst - Market Research,Houston,TX,mba_analyst,593.0,ru3000,1
c0105,ru_MNTA,Momenta Pharmaceuticals,IT Informatics Analyst,Cambridge,MA,mba_analyst,1822.0,ru3000,1
c0106,ru_MTEM,Molecular Templates,Manager - Financial Reporting & Controls,Jersey City,NJ,mba_finance,1819.0,ru3000,1
c0107,ru_MYOK,MyoKardia,Director - Project Management,San Francisco,CA,mba,1857.0,ru3000,1
c0108,ru_NEO,NeoGenomics,Project Manager,Fort Myers,FL,mba,1906.0,ru3000,1
c0109,ru_NUVA,NuVasive,Software Engineer,San Diego,CA,computer_science,1983.0,ru3000,1
c0110,ru_ONCE,Spark Therapeutics,IT BI and Data Architecture Lead,Philadelphia,PA,mba_analyst,2507.0,ru3000,1
c0111,ru_RCL,Royal Caribbean Cruises,Lead - Data Scientist,Miami,FL,data_science,2349.0,ru3000,1
c0112,ru_RTRX,Retrophin,Principal Statistical Programmer,San Diego,CA,stats,2314.0,ru3000,1
c0113,ru_TPH,Tri Pointe,Land Acquisition Analyst,Houston,TX,mba_finance,2709.0,ru3000,1
c0114,ru_VSTM,Verastem,Manager / Senior Manager Analytics & Reporting,Needham,MA,mba_analyst,2837.0,ru3000,1
c0115,ru_XNCR,Xencor,Principal Statistical Programmer,San Diego,CA,stats,2973.0,ru3000,1
c0116,vault_100,McKinsey & Company,Data Scientist - Ingenuity,Waltham,MA,data_science,1.0,vault-consulting-50,1
c0117,vault_132,Trinity Partners,Data Engineer,Waltham,MA,data_science,33.0,vault-consulting-50,1
c0118,vault_139,Cicero Group,Market Research Specialist 1,Salt Lake City,UT,mba_analyst,40.0,vault-consulting-50,1
c0119,vault_150,Cornerstone Research,Associate,San Francisco,CA,mba_finance,5.0,vault-best-boutique-consulting-firms,1
c0120,vault_174,Jefferies,Analyst - Investment Banking,New York,NY,mba_finance,23.0,vault-banking-50,1
c0121,bi_0,Credit Karma,Staff Software Engineer,Charlotte,NC,computer_science,21.0,business_insider25,2
c0122,bi_1,Wish,Software Engineer - API,San Francisco,CA,computer_science,21.0,business_insider25,2
c0123,bi_11,Magic Leap,Senior Data Scientist,Fort Lauderdale,FL,data_science,14.0,business_insider25,2
c0124,bi_13,Moderna Therapeutics,Research Associate - Data Science,Cambridge,MA,data_science,12.0,business_insider25,2
c0125,bi_15,Instacart,Data Science Manager,San Francisco,CA,data_science,10.0,business_insider25,2
c0126,bi_17,Samumed,Scientist / Senior Scientist - Cellular and Molecular Biology,San Diego,CA,data_science,8.0,business_insider25,2
c0127,bi_3,DoorDash,Product Manager - Internal Tools,San Francisco,CA,mba,21.0,business_insider25,2
c0128,cnbc_1,Uber,Behavioral Data Scientist,San Francisco,CA,data_science,2.0,cnbc_disruptor50,2
c0129,cnbc_12,Payoneer,Software Engineer-Full Stack Developer,New York,NY,computer_science,13.0,cnbc_disruptor50,2
c0130,cnbc_19,Peloton,Scientist - Medicinal Chemistry,Dallas,TX,data_science,20.0,cnbc_disruptor50,2
c0131,cnbc_2,Airbnb,Growth Product Manager - Lux,New York,NY,mba,3.0,cnbc_disruptor50,2
c0132,cnbc_21,Lisnr,Associate Product Manager,Oakland,CA,mba,22.0,cnbc_disruptor50,2
c0133,cnbc_22,WeWork,Cohort Lead - Data Science,New York,NY,data_science,23.0,cnbc_disruptor50,2
c0134,cnbc_30,Houzz,DevOps/Software Engineer Data Infrastructure,Palo Alto,CA,computer_science,31.0,cnbc_disruptor50,2
c0135,cnbc_39,Drawbridge,Software Engineer,San Mateo,CA,computer_science,40.0,cnbc_disruptor50,2
c0136,cnbc_4,Lyft,Data Scientist,New York,NY,data_science,5.0,cnbc_disruptor50,2
c0137,cnbc_41,Coursera,Senior Data Scientist - Machine Learning,Mountain View,CA,data_science,42.0,cnbc_disruptor50,2
c0138,cnbc_47,Apeel Sciences,Product Manager,Santa Barbara,CA,mba,48.0,cnbc_disruptor50,2
c0139,cnbc_49,SoFi,Staff Data Scientist - Modeler,San Francisco,CA,data_science,50.0,cnbc_disruptor50,2
c0140,cnbc_7,Udacity,Data Scientist,Mountain View,CA,data_science,8.0,cnbc_disruptor50,2
c0141,cnbc_8,Rent the Runway,Data Engineer,New York,NY,data_science,9.0,cnbc_disruptor50,2
c0142,cnbc_9,Coinbase,Senior Software Engineer - Reliability,San Francisco,CA,computer_science,10.0,cnbc_disruptor50,2
c0143,f1000_0,Walmart,Data Scientist,San Bruno,CA,data_science,1.0,fortune1000,2
c0144,f1000_1,Geico,Lead Software Engineer I,Chevy Chase,MD,computer_science,2.0,fortune1000,2
c0145,f1000_10,AmerisourceBergen,EPA Scientist,Dayton,NJ,data_science,11.0,fortune1000,2
c0146,f1000_100,Twentieth Century Fox,Software Engineer,Los Angeles,CA,computer_science,101.0,fortune1000,2
c0147,f1000_101,USAA,Data Scientist Lead,Plano,TX,data_science,102.0,fortune1000,2
c0148,f1000_104,John Deere,API Software Engineer,Moline,IL,computer_science,105.0,fortune1000,2
c0149,f1000_105,Kraft Heinz,Head of Data Science,Chicago,IL,data_science,106.0,fortune1000,2
