company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
McDonald's,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DuPont,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Northrop Grumman,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
ConocoPhillips,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Raytheon,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Andeavor,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Arrow Electronics,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Quam,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Progressive,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Duke Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Enterprise Products Partners,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Amgen,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
US Foods Holding,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
US Bancorp,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aflac,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Sears,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dollar General,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AutoNation,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Community Health Systems,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Starbucks,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Eli Lilly,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Paper,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Tenet Healthcare,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Abbott Laboratories,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dollar Tree,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Whirlpool,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Southwest Airlines,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Emerson Electric,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Staples,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Plains GP,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Penske Automotive,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Union Pacific,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Danaher,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Southern,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Manpower,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bristol-Myers Squibb,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Altria,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Fluor,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kohl's,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lear,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Jabil,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Hartford Financial Services,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Thermo Fisher Scientific,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kimberly-Clark,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Molina Healthcare,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PG&E,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Supervalu,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cummins,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CenturyLink,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aecom,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Xerox,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Marriott,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Paccar,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
General Mills,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PNC Financial Services,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Electric Power,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Icahn Enterprises,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nucor,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
NextEra Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Performance Food,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PBF Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Halliburton,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CarMax,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Freeport-McMoRan,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Whole Foods Market,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bank of New York Mellon,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Gap,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Omn,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Genuine Parts,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DaVita,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Colgate-Palmolive,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PPG Industries,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Goodyear Tire & Rubber,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Synchrony Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DISH Network,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Visa,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nordstrom,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
INTL FCStone,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
WestRock,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
XPO Logistics,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aramark,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CBS,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AES,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
WellCare Health Plans,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
FirstEnergy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Conagra Brands,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Synnex,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CDW,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Textron,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Waste,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Illinois Tool Works,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Office Depot,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Monsanto,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cognizant Technology Solutions,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Texas Instruments,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lincoln National,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Newell Brands,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Land O'Lakes,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Marsh & McLennan,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ecolab,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
C H Robinson Worldwide,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Loews,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CBRE,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kinder Morgan,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kellogg,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Western Digital,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Guardian Life Ins of America,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ross Stores,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
