,list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7
382,f1000_381,Erie Insurance Group,382.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
386,f1000_385,Harman Industries,386.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
388,f1000_387,R.R. Donnelley & Sons,388.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
390,f1000_389,Quintiles IMS,390.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
391,f1000_390,Jones Lang LaSalle,391.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
392,f1000_391,Dover,392.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
395,f1000_394,A-Mark Precious Metals,395.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
397,f1000_396,Sealed Air,397.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
398,f1000_397,Auto-Owners Insurance,398.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
399,f1000_398,Yum China,399.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
404,f1000_403,Jones Financial,404.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
405,f1000_404,Franklin Resources,405.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
406,f1000_405,Activision Blizzard,406.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
407,f1000_406,J.B. Hunt Transport Services,407.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
408,f1000_407,Constellation Brands,408.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
410,f1000_409,Asbury Automotive Group,410.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
411,f1000_410,Great American Insurance Group,411.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
412,f1000_411,Discovery Communications,412.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
413,f1000_412,Berry Global Group,413.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
415,f1000_414,CalAtlantic Group,415.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
416,f1000_415,Dr Pepper Snapple Group,416.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
418,f1000_417,HRG Group,418.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
419,f1000_418,CMS Energy,419.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
421,f1000_420,Builders FirstSource,421.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
422,f1000_421,Yum Brands,422.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
425,f1000_424,Oshkosh,425.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
426,f1000_425,iHeartMedia,426.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
427,f1000_426,TreeHouse Foods,427.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
428,f1000_427,Alleghany,428.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
429,f1000_428,Expeditors of Washington,429.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
430,f1000_429,Avery Dennison,430.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
432,f1000_431,Hanesbrands,432.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
434,f1000_433,St. Jude Medical,434.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
436,f1000_435,Regions Financial,436.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
438,f1000_437,Alaska Air Group,438.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
439,f1000_438,Old Republic,439.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
441,f1000_440,AK Steel,441.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
443,f1000_442,Adobe Systems,443.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
444,f1000_443,Avon Products,444.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
447,f1000_446,Dana,447.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
450,f1000_449,Packaging Corp. of America,450.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
451,f1000_450,Citizens Financial Group,451.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
452,f1000_451,United Rentals,452.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
453,f1000_452,Clorox,453.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
454,f1000_453,Genesis Healthcare,454.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
455,f1000_454,M&T Bank,455.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
457,f1000_456,UGI,457.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
461,f1000_460,Wyndham Worldwide,461.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
462,f1000_461,Arthur J. Gallagher,462.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
464,f1000_463,First American Financial,464.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
470,f1000_469,TravelCenters of America,470.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
472,f1000_471,Host Hotels & Resorts,472.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
473,f1000_472,Insight Enterprises,473.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
476,f1000_475,Cincinnati Financial,476.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
477,f1000_476,Simon Property Group,477.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
478,f1000_477,Western Union,478.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
479,f1000_478,KeyCorp,479.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
480,f1000_479,Delek US,480.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
481,f1000_480,Booz Allen Hamilton,481.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
482,f1000_481,Chemours,482.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
485,f1000_484,Windstream,485.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
