cid,list_id,company,position,office,office_state,job_type
c30,f1000_227,Arconic,Senior Data Scientist,Cleveland,OH,stats
c31,vault_79,Arent Fox,Trademark Associate,Washington,DC,consultant
c32,forbes_62,Asana,Data Scientist - Growth,San Francisco,CA,stats
c33,f1000_397,Auto-Owners Insurance,Data Scientist - Experienced,Lansing,MI,stats
c34,f1000_244,BB&T,BSA/AML Quantitative Associate,Winston-Salem,NC,stats
c35,f1000_770,BGC Partners,Commercial Real Estate Business Consultant,Chicago,IL,stats
c36,vault_63,Baker & Hostetler,Associate - Business,Cincinnati,OH,consultant
c37,f1000_284,Baker Hughes,Staff Data Scientist- - TX,Houston,TX,stats
c38,vault_30,Baker McKenzie,IP Litigation Associate,Dallas,TX,consultant
c39,f1000_305,Ball,Research Analyst Associate,Albuquerque,NM,stats
c40,f1000_25,Bank of America,Data Scientist II,Charlotte,NC,stats
c41,f1000_224,Becton Dickinson,Systems Verification Scientist II,San Jose,CA,stats
c42,f1000_247,Biogen,Principal Biostatistician,Cambridge,MA,stats
c43,f1000_23,Boeing,Mid-level User Experience Researcher,Bellevue,WA,stats
c44,f1000_480,Booz Allen Hamilton,Data Scientist - Mid,Washington,DC,stats
c45,glassdoor_54,Boston Consulting,Expert Data Scientist,Seattle,WA,stats
c46,f1000_146,Bristol-Myers Squibb,Senior Biostatistician,Princeton,NJ,stats
c47,f1000_614,CACI,Data Scientist,Charlottesville,VA,stats
c48,f1000_213,CBRE,UX - UI Researcher,Seattle,WA,stats
c49,f1000_92,CHS,Research and Product Analyst,Inver Grove Heights,MN,stats
c50,f1000_549,CIT,AVP - Audit - Quantitative Analytics,Livingston,NJ,stats
c51,f1000_6,CVS Health,Data Scientist Advisor Analytics,Woonsocket,RI,stats
c52,f1000_173,CarMax,Sr Data Scientist,Richmond,VA,stats
c53,f1000_253,Celgene,Senior Statistician,Berkeley Heights,NJ,stats
c54,f1000_65,Centene,Biostatistician II,Clayton,MO,stats
c55,f1000_159,CenturyLink,SR DATA SCIENTIST,Broomfield,CO,stats
c56,f1000_529,Cerner,Data Scientist,Malvern,PA,stats
c57,f1000_356,Charles Schwab,Quantitative Analyst/Senior Quantitative Analyst,Chicago,IL,stats
c58,f1000_18,Chevron,Statistician,Richmond,CA,stats
c59,f1000_598,Chipotle Mexican Grill,Data Scientist - Enterprise Analytics,Newport Beach,CA,stats
c60,f1000_69,Cigna,Sr Data Scientist-Healthcare,Raleigh,NC,stats
c61,f1000_452,Clorox,Data Scientist,Durham,NC,stats
c62,f1000_30,Comcast,Advertising Research Analyst,Quincy,MA,stats
c63,f1000_196,Conagra Brands,Sr Data Scientist,Chicago,IL,stats
c64,vault_26,Cooley,Car Wash Associate,Irving,TX,consultant
c65,f1000_947,Cooper,Quality Statistical Data Analyst,Findlay,OH,stats
c66,f1000_951,CoreLogic,Principal - Science & Analytics-Earthquake Scientist,Oakland,CA,stats
c67,f1000_297,Corning,Data Scientist,Corning,NY,stats
c68,bi_0,Credit Karma,Senior Data Scientist - Engineering,San Francisco,CA,stats
c69,vault_170,Credit Suisse,Data Strategy/Machine Learning Architect,New York,NY,data_science
c70,vault_208,Crowe,Data Scientist - Applied Technology,Chicago,IL,stats
c71,vault_68,Crowell & Moring,Antitrust Associate,New York,NY,consultant
c72,f1000_158,Cummins,Senior Data Scientist,Columbus,IN,stats
c73,forbes_17,Cylance,Staff Data Scientist,Irvine,CA,stats
c74,vault_32,DLA Piper,Associate,Austin,TX,consultant
c75,f1000_180,DaVita,Data Scientist - Operations Innovation,Denver,CO,stats
c76,f1000_446,Dana,Research Fellow - Computational Biologist/Biostatistician in Irizarry Lab,Boston,MA,stats
c77,vault_93,Davis Wright Tremaine,Energy Associate,San Francisco,CA,consultant
c78,f1000_104,Deere,Student Researcher JDTIC - - IA,Ames,IA,stats
c79,vault_203,Deloitte,Data Scientist - Client Experience / Research and Insights,Washington,DC,stats
c80,f1000_339,Dick's Sporting Goods,Data Scientist - Labor Planning & Analytics,Coraopolis,PA,stats
c81,f1000_276,Discover Financial Services,Lead Data Scientist,Riverwoods,IL,stats
c82,f1000_411,Discovery Communications,Senior Data Scientist,New York,NY,stats
