list_id,company,job_keyword,url,date
f1000_142,Union Pacific,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AUnion+Pacific&l=Anywhere&jt=fulltime,2019-01-18
f1000_142,Union Pacific,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AUnion+Pacific&l=Anywhere&jt=fulltime,2019-01-18
f1000_145,ManpowerGroup,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AManpowerGroup&l=Anywhere&jt=fulltime,2019-01-18
f1000_145,ManpowerGroup,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AManpowerGroup&l=Anywhere&jt=fulltime,2019-01-18
f1000_147,Altria,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AAltria&l=Anywhere&jt=fulltime,2019-01-18
f1000_147,Altria,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AAltria&l=Anywhere&jt=fulltime,2019-01-18
f1000_148,Fluor,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AFluor&l=Anywhere&jt=fulltime,2019-01-18
f1000_148,Fluor,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AFluor&l=Anywhere&jt=fulltime,2019-01-18
f1000_149,Kohl's,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AKohl%27s&l=Anywhere&jt=fulltime,2019-01-18
f1000_149,Kohl's,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AKohl%27s&l=Anywhere&jt=fulltime,2019-01-18
f1000_150,Lear,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ALear&l=Anywhere&jt=fulltime,2019-01-18
f1000_150,Lear,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ALear&l=Anywhere&jt=fulltime,2019-01-18
f1000_151,Jabil,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AJabil&l=Anywhere&jt=fulltime,2019-01-18
f1000_151,Jabil,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AJabil&l=Anywhere&jt=fulltime,2019-01-18
f1000_155,Molina Healthcare,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AMolina+Healthcare&l=Anywhere&jt=fulltime,2019-01-18
f1000_155,Molina Healthcare,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AMolina+Healthcare&l=Anywhere&jt=fulltime,2019-01-18
f1000_156,PG&E,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3APG%26E&l=Anywhere&jt=fulltime,2019-01-18
f1000_156,PG&E,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3APG%26E&l=Anywhere&jt=fulltime,2019-01-18
