web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
Greenberg Traurig,Mid-Level M&A Associate,"Fort Lauderdale, FL",associate,consultant,Greenberg Traurig,vault_52,"['associate', 'consultant']","['associate', 'consultant']",Greenberg Traurig,True,False,10.0,0.0,False,True,7.0,False,0.0,"Fort Lauderdale, FL",True,Fort Lauderdale,FL,Mid-Level M&A Associate,23,1.0
Groupon,Data Scientist,"Seattle, WA 98101 (Downtown area)",statistics,stats,Groupon,f1000_703,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Groupon,True,False,13.0,0.0,False,False,0.0,True,7.0,"Seattle, WA",True,Seattle,WA,Data Scientist,14,1.0
"Guidewire Software, Inc.","Senior Data Scientist, Cyber Risk Analytics - San Mateo, CA","San Mateo, CA 94404",statistics,stats,Guidewire Software,nasdaq_GWRE,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Guidewire Software Inc ,False,True,0.0,2.0,False,False,0.0,True,1.0,"San Mateo, CA",True,San Mateo,CA,Senior Data Scientist - Cyber Risk Analytics - - CA,59,1.0
HCA Corporate,Data Scientist II,"Nashville, TN",statistics,stats,HCA,f1000_62,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",HCA Corporate,False,True,0.0,11.0,False,False,0.0,True,1.0,"Nashville, TN",True,Nashville,TN,Data Scientist II,17,1.0
HNI Corporation,Data Scientist,"Muscatine, IA 52761",statistics,stats,HNI,f1000_889,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",HNI Corporation,False,True,0.0,1.0,False,False,0.0,True,1.0,"Muscatine, IA",True,Muscatine,IA,Data Scientist,14,1.0
The Hanover Insurance Group,Sr Data Scientist,"Worcester, MA 01653",statistics,stats,Hanover Insurance,f1000_516,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",The Hanover Insurance Group,False,True,0.0,1.0,False,False,0.0,True,1.0,"Worcester, MA",True,Worcester,MA,Sr Data Scientist,17,1.0
Harris Teeter,"Marketing Research Analyst - Matthews, NC","Matthews, NC",statistics,stats,Harris,f1000_362,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Harris Teeter,False,True,0.0,18.0,False,False,0.0,True,2.0,"Matthews, NC",True,Matthews,NC,Marketing Research Analyst - - NC,41,1.0
Hewlett Packard Enterprise,Research Engineer - Data Scientist - Statistics,"Palo Alto, CA 94304",statistics,stats,Hewlett Packard Enterprise,f1000_58,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Hewlett Packard Enterprise,True,False,16.0,0.0,False,True,3.0,False,2.0,"Palo Alto, CA",True,Palo Alto,CA,Research Engineer - Data Scientist - Statistics,47,1.0
Holland & Knight LLP,Real Estate Associate,"New York, NY 10007 (Financial District area)",associate,consultant,Holland & Knight,vault_58,"['associate', 'consultant']","['associate', 'consultant']",Holland & Knight LLP,False,True,0.0,6.0,False,True,6.0,False,0.0,"New York, NY",True,New York,NY,Real Estate Associate,21,1.0
The Home Depot,"Data Scientist, Online","Atlanta, GA",statistics,stats,Home Depot,f1000_22,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",The Home Depot,False,True,0.0,18.0,False,False,0.0,True,1.0,"Atlanta, GA",True,Atlanta,GA,Data Scientist - Online,22,1.0
Honeywell,Sr Data Scientist,"Atlanta, GA 30308 (Old Fourth Ward area)",statistics,stats,Honeywell,f1000_72,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Honeywell,True,False,15.0,0.0,False,False,0.0,True,2.0,"Atlanta, GA",True,Atlanta,GA,Sr Data Scientist,17,1.0
